dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.001154781984689458,0.001154781984689458,0.008659643233600654,0.008659643233600654,0.001333521432163324,0.001333521432163324
30,l1w,5000,30,1e-10,5.62341325190349e-13,2.3713737056616548e-07,3.1622776601683795e-05,3.1622776601683795e-05,2.3713737056616557e-05,2.738419634264361e-05
30,nuclear,5000,30,1e-07,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,"(1e-15, 0.01154781984689458)","(1e-15, 0.01154781984689458)","(8.659643233600654e-09, 0.01154781984689458)","(1.7782794100389228e-08, 0.01154781984689458)","(1e-15, 0.01154781984689458)","(1e-15, 0.01154781984689458)"
30,dedicated_l1_nuclear_1d,5000,30,1e-08,"(1.7782794100389228e-08, 0.01154781984689458)","(1.7782794100389228e-08, 0.01154781984689458)","(3.3982083289425596e-05, 0.01154781984689458)","(0.0001, 0.01154781984689458)","(1.2409377607517196e-08, 0.01154781984689458)","(3.6517412725483767e-08, 0.01154781984689458)"
30,l1,7000,30,1e-10,0.001,0.001,0.007498942093324559,0.007498942093324559,0.0011547819846894581,0.0011547819846894581
30,l1w,7000,30,1e-10,5.623413251903491e-11,5.623413251903491e-11,3.651741272548377e-05,3.651741272548377e-05,3.1622776601683795e-05,3.1622776601683795e-05
30,nuclear,7000,30,1e-07,0.006042963902381328,0.006042963902381328,0.011547819846894581,0.011547819846894581,0.006042963902381328,0.006042963902381328
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,"(1e-14, 0.006042963902381328)","(3.1622776601683796e-14, 0.006042963902381328)","(5.048065716667471e-09, 0.011547819846894581)","(1.4855080171727751e-08, 0.011547819846894581)","(1.433012570236963e-09, 0.006042963902381328)","(2.942727176209282e-09, 0.006042963902381328)"
30,dedicated_l1_nuclear_1d,7000,30,1e-08,"(6.731703824144983e-06, 0.006042963902381328)","(4.869675251658632e-05, 0.006042963902381328)","(1.1547819846894583e-05, 0.011547819846894581)","(6.978305848598664e-05, 0.011547819846894581)","(4.531583637600818e-07, 0.006042963902381328)","(4.531583637600818e-07, 0.006042963902381328)"
30,l1,10000,30,1e-10,0.0008659643233600654,0.0008659643233600654,0.0036517412725483775,0.004216965034285823,0.0011547819846894581,0.0011547819846894581
30,l1w,10000,30,1e-10,1.7782794100389228e-12,1.333521432163324e-07,3.651741272548377e-05,4.216965034285822e-05,3.651741272548377e-05,3.651741272548377e-05
30,nuclear,10000,30,1e-07,0.006042963902381328,0.006042963902381328,0.011547819846894581,0.011547819846894581,0.006042963902381328,0.006042963902381328
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,"(1e-11, 0.006042963902381328)","(1.778279410038923e-10, 0.006042963902381328)","(5.2329911468149466e-08, 0.006042963902381328)","(6.264335366568855e-08, 0.006042963902381328)","(3.5226946514731018e-09, 0.006042963902381328)","(8.659643233600654e-09, 0.006042963902381328)"
30,dedicated_l1_nuclear_1d,10000,30,1e-08,"(1e-15, 0.006042963902381328)","(1e-15, 0.006042963902381328)","(1e-15, 0.011547819846894581)","(2.8387359647587547e-05, 0.011547819846894581)","(5.048065716667471e-09, 0.006042963902381328)","(6.042963902381328e-09, 0.006042963902381328)"
30,l1,15000,30,1e-10,0.0007498942093324559,0.0007498942093324559,0.001539926526059492,0.001778279410038923,0.0008659643233600654,0.001
30,l1w,15000,30,1e-10,1.7782794100389228e-12,3.162277660168379e-08,4.869675251658631e-05,5.623413251903491e-05,4.869675251658631e-05,4.869675251658631e-05
30,nuclear,15000,30,1e-07,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328
